trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
amcr6bracq,2021-05-12 16:15:39.136841,2021-05-12 18:12:40.000000,2021-05-12 23:23:54.264978,COMPLETED,58958.584,,25,64,5,0.00003,10,2025
r8q62dyxb8,2021-05-12 18:12:06.578097,2021-05-12 18:12:16.000000,2021-05-12 23:22:32.001483,COMPLETED,85208.85,,50,4,10,0.00001,10,2022
p7m4hwtwm9,2021-05-12 23:20:32.534479,2021-05-12 23:20:49.000000,,RUNNING,,,25,4,10,0.000003,20,2023
ve5qnzki4j,2021-05-12 12:28:27.695740,2021-05-12 12:28:52.000000,2021-05-12 23:21:26.184031,COMPLETED,50000.5,,25,16,5,0.00003,20,2022
6gyzfkxc6n,2021-05-12 16:33:09.124754,2021-05-12 17:57:39.000000,2021-05-12 23:20:13.110937,COMPLETED,78750.77,,25,64,5,0.000003,10,2023
vbdxdwas89,2021-05-12 17:59:10.231625,2021-05-12 18:07:28.000000,2021-05-12 23:18:54.468988,COMPLETED,75416.754,,25,4,5,0.000001,10,2024
89j5geknqg,2021-05-12 23:17:01.163125,2021-05-13 01:49:20.000000,,RUNNING,,,25,16,10,0.00001,10,2021
askiwkaa2t,2021-05-12 23:16:59.806568,2021-05-13 01:47:05.000000,,RUNNING,,,50,16,10,0.000003,20,2025
c8jggw5u86,2021-05-12 01:10:02.060693,2021-05-12 01:25:38.000000,2021-05-12 23:16:29.480461,COMPLETED,69583.722,,25,4,10,0.000003,20,2024
shnj7bpgkj,2021-05-12 16:41:16.926239,2021-05-12 17:57:41.000000,2021-05-12 23:15:44.709121,COMPLETED,50000.5,,50,16,10,0.00003,10,2021
wc5wruki4n,2021-05-12 23:08:50.534203,2021-05-13 01:35:12.000000,,RUNNING,,,25,16,10,0.000001,20,2021
7bnrvu5tyk,2021-05-12 01:46:26.150397,2021-05-12 01:46:31.000000,2021-05-12 23:08:38.223221,COMPLETED,50000.5,,25,64,10,0.00003,20,2025
ci2z7nb8wp,2021-05-12 17:49:50.899861,2021-05-12 17:50:06.000000,2021-05-12 23:07:53.026443,COMPLETED,76041.744,,25,16,5,0.000001,10,2022
e4t64vrteq,2021-05-12 23:04:11.124979,2021-05-13 00:08:06.000000,,RUNNING,,,25,4,10,0.00003,10,2022
svyzvr29tf,2021-05-12 17:41:44.036909,2021-05-12 17:41:59.000000,2021-05-12 23:03:55.132493,COMPLETED,50000.5,,50,16,5,0.00003,20,2023
vgf9zx3e6u,2021-05-12 23:00:39.905178,2021-05-13 02:20:31.000000,,RUNNING,,,50,16,10,0.000003,20,2023
cmurn7xh77,2021-05-12 16:42:27.156653,2021-05-12 17:47:13.000000,2021-05-12 22:59:33.365064,COMPLETED,50000.5,,25,16,5,0.00003,10,2021
732fjy4px8,2021-05-12 22:50:12.693147,2021-05-12 23:14:21.000000,,RUNNING,,,25,4,10,0.000003,10,2023
577vzyhh9e,2021-05-12 17:30:07.575014,2021-05-12 17:30:16.000000,2021-05-12 22:49:43.516468,COMPLETED,80000.786,,50,64,10,0.00001,10,2024
4g8f93nxic,2021-05-12 17:26:37.352866,2021-05-12 17:26:54.000000,2021-05-12 22:44:47.033910,COMPLETED,79375.776,,25,64,5,0.000003,10,2025
