trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_instance_dropout,influence_tuning_lr,seed
t8u8rafqdn,2021-05-12 23:04:34.999599,2021-05-13 01:01:08.000000,2021-05-13 03:57:09.981912,COMPLETED,81253.8144666667,,25,64,0.98,0.00003,2025
xys58zhbzk,2021-05-13 00:48:20.456817,2021-05-13 00:48:33.000000,2021-05-13 03:55:49.824167,COMPLETED,85193.8476666667,,25,64,0.98,0.00003,2024
g2kwtihq47,2021-05-13 01:02:18.149128,2021-05-13 02:21:52.000000,2021-05-13 03:55:02.128050,COMPLETED,85180.8483333333,,50,64,0.98,0.000003,2021
tqye6gbgpj,2021-05-13 00:37:51.749801,2021-05-13 02:23:55.000000,2021-05-13 03:53:14.214748,COMPLETED,62580.6206,,50,4,0.98,0.00003,2023
5xsbri8r76,2021-05-13 02:19:21.207851,2021-05-13 02:19:31.000000,2021-05-13 03:47:45.098031,COMPLETED,66100.6598666667,,50,16,0.98,0.000003,2025
qmp3gdtvkp,2021-05-12 19:44:04.420348,2021-05-13 02:03:24.000000,2021-05-13 03:35:36.077087,COMPLETED,56746.5628666667,,50,4,0.98,0.00003,2022
miwmedkbp2,2021-05-12 22:54:02.981029,2021-05-13 00:35:20.000000,2021-05-13 03:32:32.516306,COMPLETED,67086.6628666667,,25,64,0.98,0.000003,2023
8hz6nzv5yv,2021-05-13 01:55:58.109896,2021-05-13 01:56:09.000000,2021-05-13 03:32:31.162803,COMPLETED,79093.7835333333,,50,16,0.98,0.00001,2024
96n7cdzekv,2021-05-12 21:38:03.209920,2021-05-13 02:00:47.000000,2021-05-13 03:32:06.312748,COMPLETED,81100.811,,50,64,0.98,0.000003,2022
829tka9en2,2021-05-13 00:28:29.051676,2021-05-13 00:28:38.000000,2021-05-13 03:31:46.649814,COMPLETED,71833.7108666667,,25,16,0.98,0.000003,2025
2nvg3v5v4a,2021-05-12 19:44:03.799154,2021-05-13 00:35:18.000000,2021-05-13 03:31:25.537780,COMPLETED,90593.9031333333,,25,4,0.98,0.000003,2022
ufj5dxuyjp,2021-05-13 00:33:10.550232,2021-05-13 00:33:25.000000,2021-05-13 03:30:31.598232,COMPLETED,81606.8202,,25,64,0.98,0.000003,2021
zpdcxeubnn,2021-05-13 01:57:08.007824,2021-05-13 01:57:11.000000,2021-05-13 03:28:28.862014,COMPLETED,81000.8058666667,,50,64,0.98,0.00003,2023
wi727dyvs5,2021-05-13 00:33:09.948550,2021-05-13 00:33:25.000000,2021-05-13 03:28:18.811811,COMPLETED,72220.7216666667,,25,4,0.98,0.00001,2021
889c2stkm5,2021-05-12 23:06:55.726495,2021-05-13 00:32:42.000000,2021-05-13 03:26:57.583995,COMPLETED,73033.7312,,25,64,0.98,0.00003,2021
eezk5ssn2f,2021-05-13 01:52:26.622367,2021-05-13 01:53:11.000000,2021-05-13 03:26:18.474720,COMPLETED,69900.6969333333,,50,64,0.98,0.00001,2022
m4wccrbg4c,2021-05-13 00:28:29.721536,2021-05-13 00:28:38.000000,2021-05-13 03:25:58.847811,COMPLETED,67326.6695333333,,25,4,0.98,0.000003,2023
e28px99gvm,2021-05-12 23:04:34.163852,2021-05-13 02:31:53.000000,2021-05-13 03:22:23.724672,COMPLETED,64600.641,,25,16,0.995,0.000003,2025
b4jtkwx5vt,2021-05-12 22:56:24.082698,2021-05-13 02:30:32.000000,2021-05-13 03:20:59.477997,COMPLETED,81980.8188666667,,25,4,0.995,0.00001,2025
rcmxynghg2,2021-05-13 01:47:47.165081,2021-05-13 01:48:20.000000,2021-05-13 03:17:30.522978,COMPLETED,68840.6767333333,,50,4,0.98,0.000003,2023
8xf3fkxxfu,2021-05-13 02:27:31.099133,2021-05-13 02:27:34.000000,2021-05-13 03:15:40.834076,COMPLETED,63020.6273333333,,25,4,0.995,0.00001,2022
tgv5wdvx9g,2021-05-13 02:26:21.230112,2021-05-13 02:26:23.000000,2021-05-13 03:15:10.559501,COMPLETED,77773.7781333333,,25,64,0.995,0.00003,2021
vdffgft9y3,2021-05-13 02:25:11.215261,2021-05-13 02:25:24.000000,2021-05-13 03:13:08.737772,COMPLETED,79873.8002,,25,64,0.995,0.000003,2023
829z6x4zej,2021-05-12 22:49:22.778475,2021-05-13 00:10:03.000000,2021-05-13 03:09:33.862850,COMPLETED,72120.7196,,25,4,0.98,0.00001,2022
m9dsbdycym,2021-05-13 00:37:51.079833,2021-05-13 02:21:57.000000,2021-05-13 03:09:00.410079,COMPLETED,50000.5,,25,4,0.995,0.00003,2022
uijuhe6ebe,2021-05-13 00:07:33.964123,2021-05-13 00:07:38.000000,2021-05-13 03:07:43.859850,COMPLETED,50000.5,,25,4,0.98,0.00003,2025
ztzget8txn,2021-05-13 02:20:31.664221,2021-05-13 02:20:40.000000,2021-05-13 03:06:33.789773,COMPLETED,82233.8212,,25,16,0.995,0.00001,2021
vtm9rzkbnw,2021-05-13 01:09:17.776500,2021-05-13 02:12:44.000000,2021-05-13 03:03:28.956414,COMPLETED,61133.6089333333,,25,16,0.995,0.00001,2025
cmh737w86c,2021-05-12 22:08:22.116130,2021-05-13 01:30:06.000000,2021-05-13 03:03:04.591604,COMPLETED,91626.9171333333,,50,16,0.98,0.00003,2023
dezkngbk29,2021-05-13 01:32:36.221744,2021-05-13 01:32:57.000000,2021-05-13 03:02:10.886640,COMPLETED,74240.7344,,50,4,0.98,0.00001,2025
f53tfnih5i,2021-05-13 00:11:04.419508,2021-05-13 00:11:13.000000,2021-05-13 03:02:08.985549,COMPLETED,82093.8169333333,,25,64,0.98,0.00001,2025
yadqyrfjwn,2021-05-12 19:44:02.928633,2021-05-13 01:28:55.000000,2021-05-13 03:01:57.189178,COMPLETED,66613.6569333333,,50,16,0.98,0.000003,2023
76m3ug7k9b,2021-05-13 02:35:42.329423,2021-05-13 02:35:51.000000,2021-05-13 03:01:34.516178,COMPLETED,75626.7524,,50,64,0.995,0.00003,2024
9mj5k42u9r,2021-05-12 22:23:29.434998,2021-05-13 01:28:38.000000,2021-05-13 02:58:07.287073,COMPLETED,85593.8518666667,,50,4,0.98,0.00001,2024
hxs9cpvm8s,2021-05-13 02:08:50.018094,2021-05-13 02:09:20.000000,2021-05-13 02:58:00.604726,COMPLETED,80286.7992,,25,4,0.995,0.00001,2023
b6gxbf88rw,2021-05-12 19:43:51.469814,2021-05-13 01:28:49.000000,2021-05-13 02:56:47.772060,COMPLETED,89020.8915333333,,50,16,0.98,0.00001,2022
2t63simwem,2021-05-13 02:08:49.275963,2021-05-13 02:09:20.000000,2021-05-13 02:56:00.080086,COMPLETED,85486.8550666667,,25,4,0.995,0.00001,2024
4ns9tm6a5n,2021-05-13 02:10:00.588728,2021-05-13 02:28:52.000000,2021-05-13 02:55:25.828255,COMPLETED,87886.8786,,50,64,0.995,0.000003,2022
fi48f94ybh,2021-05-12 23:08:08.471240,2021-05-12 23:48:35.000000,2021-05-13 02:54:26.229605,COMPLETED,85880.8592666667,,25,16,0.98,0.000003,2021
2dm3mgbznb,2021-05-13 01:05:48.516827,2021-05-13 02:27:09.000000,2021-05-13 02:53:33.307759,COMPLETED,68273.6793333333,,50,64,0.995,0.00003,2025
