trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
5eiznpi5f8,2021-05-12 03:41:24.250614,2021-05-12 03:41:38.000000,2021-05-12 04:46:13.649193,COMPLETED,82083.802,,25,4,5,0.000003,10,2024
cwayz8erzp,2021-05-12 03:32:27.754901,2021-05-12 03:32:42.000000,2021-05-12 04:37:32.431675,COMPLETED,81666.784,,25,16,5,0.00001,10,2022
4edpzb94n2,2021-05-11 23:20:36.632384,2021-05-12 02:10:07.000000,2021-05-12 04:31:46.075492,COMPLETED,50000.5,,25,16,5,0.00003,20,2022
dy43efvrps,2021-05-12 03:24:37.967307,2021-05-12 03:25:00.000000,2021-05-12 04:31:23.893018,COMPLETED,75208.78,,50,16,5,0.00003,20,2025
5hk9uv334n,2021-05-12 03:11:10.389382,2021-05-12 03:11:38.000000,2021-05-12 04:18:21.404149,COMPLETED,81041.808,,50,4,10,0.00001,10,2022
qgzchjib7e,2021-05-12 03:12:21.664288,2021-05-12 03:12:55.000000,2021-05-12 04:17:54.786688,COMPLETED,85625.854,,25,16,5,0.00003,10,2023
ux8bj7iiut,2021-05-12 03:02:12.103779,2021-05-12 03:05:44.000000,2021-05-12 04:12:32.402710,COMPLETED,75208.766,,25,4,5,0.000001,10,2024
g2tyvjaic3,2021-05-12 03:25:45.465569,2021-05-12 03:26:12.000000,2021-05-12 04:04:09.627206,COMPLETED,78958.804,,50,16,5,0.000003,10,2023
jiwis63pbe,2021-05-12 02:34:25.640827,2021-05-12 02:48:33.000000,2021-05-12 03:54:36.802224,COMPLETED,80416.794,,50,16,5,0.00003,20,2023
bw5ewsqe8g,2021-05-12 02:43:20.486329,2021-05-12 02:47:24.000000,2021-05-12 03:53:18.680866,COMPLETED,79583.77,,25,16,5,0.000001,10,2022
9r9juk9m6z,2021-05-11 23:05:02.475280,2021-05-11 23:24:44.000000,2021-05-12 03:53:25.800366,COMPLETED,81666.798,,25,16,10,0.00001,20,2024
vpqv5jjwbf,2021-05-12 01:25:12.345355,2021-05-12 01:25:14.000000,2021-05-12 03:41:55.602800,COMPLETED,77291.766,,50,4,10,0.00001,20,2025
6e4t89mnpt,2021-05-12 01:28:35.848100,2021-05-12 01:28:41.000000,2021-05-12 03:42:13.258621,COMPLETED,78958.782,,25,64,5,0.000003,20,2022
v3vdcnn5gs,2021-05-12 03:06:39.193732,2021-05-12 03:06:53.000000,2021-05-12 03:40:53.764784,COMPLETED,72916.744,,50,64,5,0.000003,10,2025
i2m2my2gtw,2021-05-11 15:51:29.561841,2021-05-11 16:05:20.000000,2021-05-11 17:12:17.733643,COMPLETED,77708.774,,50,16,10,0.000003,10,2023
yqaykm3jmp,2021-05-11 06:59:24.952185,2021-05-11 12:39:17.000000,2021-05-11 17:00:40.755604,COMPLETED,50000.5,,25,16,10,0.00003,20,2023
nw5ffhxj46,2021-05-11 02:56:20.147487,2021-05-11 14:49:18.000000,2021-05-11 17:00:43.552841,COMPLETED,75833.784,,50,16,10,0.000001,20,2021
cibscdr5g5,2021-05-10 23:54:28.673512,2021-05-11 14:30:32.000000,2021-05-11 16:38:56.047442,COMPLETED,78333.778,,50,16,10,0.000003,20,2024
c3ty3exn4i,2021-05-11 15:10:17.126998,2021-05-11 15:28:02.000000,2021-05-11 16:37:58.948082,COMPLETED,73333.732,,50,4,10,0.000001,10,2024
gzn3hv4xzk,2021-05-11 11:56:44.403207,2021-05-11 15:28:02.000000,2021-05-11 16:36:45.746130,COMPLETED,81458.814,,50,4,10,0.00001,10,2025
anak4pd9pb,2021-05-11 07:03:50.141054,2021-05-11 15:27:58.000000,2021-05-11 16:35:22.634221,COMPLETED,78125.772,,50,16,5,0.000003,20,2025
rf297ge92s,2021-05-11 04:02:57.164228,2021-05-11 15:27:55.000000,2021-05-11 16:32:45.206247,COMPLETED,85416.858,,25,16,5,0.00001,10,2023
yvj3zg8m29,2021-05-11 12:13:22.041314,2021-05-11 14:20:03.000000,2021-05-11 16:29:28.235289,COMPLETED,81875.794,,25,4,10,0.000003,10,2025
cskajfv6pc,2021-05-11 15:23:38.385544,2021-05-11 15:54:38.000000,2021-05-11 16:29:38.495070,COMPLETED,50000.5,,50,4,5,0.00003,10,2021
u87gzy5gju,2021-05-11 12:48:57.691026,2021-05-11 15:14:03.000000,2021-05-11 16:24:32.440129,COMPLETED,76458.746,,25,4,5,0.000001,10,2022
h9wte5a48i,2021-05-11 06:57:11.921075,2021-05-11 14:13:44.000000,2021-05-11 16:22:15.115045,COMPLETED,77916.76,,25,16,10,0.000001,10,2023
v9agrtfxjw,2021-05-11 09:43:36.885168,2021-05-11 15:14:22.000000,2021-05-11 16:20:38.091809,COMPLETED,71666.732,,25,4,5,0.000001,10,2021
dm2fknwdmn,2021-05-11 05:05:05.921329,2021-05-11 15:27:55.000000,2021-05-11 16:02:41.967007,COMPLETED,75833.752,,50,4,5,0.000001,10,2024
zr7zd28a82,2021-05-11 03:49:39.717247,2021-05-11 15:28:00.000000,2021-05-11 16:04:18.829273,COMPLETED,82708.8,,50,16,5,0.00001,10,2022
bgmaev5swt,2021-05-11 13:50:21.366550,2021-05-11 13:50:29.000000,2021-05-11 15:57:29.349987,COMPLETED,83333.828,,50,16,10,0.00001,20,2023
yz7kqfi2eg,2021-05-11 12:50:05.144410,2021-05-11 14:48:13.000000,2021-05-11 15:55:35.332730,COMPLETED,75625.74,,25,16,5,0.000001,10,2021
k9vujgdxyz,2021-05-11 13:35:48.131040,2021-05-11 13:36:41.000000,2021-05-11 15:50:59.547645,COMPLETED,75208.778,,50,64,10,0.00003,20,2024
fzn3eeda57,2021-05-11 13:43:41.676470,2021-05-11 14:17:04.000000,2021-05-11 15:26:35.074850,COMPLETED,81666.8,,50,64,5,0.00003,20,2022
cdm9kukjsy,2021-05-11 13:22:23.458362,2021-05-11 13:22:44.000000,2021-05-11 15:22:32.229306,COMPLETED,80000.79,,25,64,10,0.00001,10,2023
qq64wnr8n8,2021-05-11 14:10:22.305095,2021-05-11 14:10:47.000000,2021-05-11 15:18:05.716682,COMPLETED,76666.742,,50,64,5,0.000003,20,2024
95dqhvve3n,2021-05-11 12:48:56.376632,2021-05-11 14:35:31.000000,2021-05-11 15:09:39.070245,COMPLETED,78541.764,,50,64,5,0.000001,10,2023
pzupf5sxku,2021-05-11 05:53:55.701370,2021-05-11 12:37:47.000000,2021-05-11 14:49:18.630377,COMPLETED,76458.752,,25,4,10,0.000001,10,2024
kndy8f9kxh,2021-05-11 01:32:31.945109,2021-05-11 13:24:20.000000,2021-05-11 14:29:53.975694,COMPLETED,78958.768,,50,64,10,0.00001,10,2022
4tjp9qr8ew,2021-05-11 13:26:51.992756,2021-05-11 13:35:39.000000,2021-05-11 14:09:21.809134,COMPLETED,79166.79,,50,64,5,0.00001,10,2023
g4dbqgpx8i,2021-05-11 12:42:14.637435,2021-05-11 12:42:30.000000,2021-05-11 13:49:37.842379,COMPLETED,79375.768,,50,4,5,0.000003,20,2022
bt8cdhhkgp,2021-05-11 12:40:00.717188,2021-05-11 12:40:03.000000,2021-05-11 13:43:14.709108,COMPLETED,78958.752,,25,16,5,0.000003,10,2022
3nhjtpvthk,2021-05-11 12:26:41.162262,2021-05-11 12:26:49.000000,2021-05-11 13:35:14.409070,COMPLETED,81041.792,,50,4,5,0.000003,20,2025
4b3uatxsnp,2021-05-11 12:46:40.885677,2021-05-11 12:48:51.000000,2021-05-11 13:26:24.175729,COMPLETED,75208.754,,50,16,5,0.00001,10,2025
c24jvw2cax,2021-05-11 09:55:46.780182,2021-05-11 12:46:28.000000,2021-05-11 13:21:29.602691,COMPLETED,50000.5,,50,4,5,0.00003,10,2022
93arfawegu,2021-05-11 11:45:37.867190,2021-05-11 11:46:04.000000,2021-05-11 12:49:49.163780,COMPLETED,77500.774,,50,64,10,0.000003,10,2024
nxm9wv7gwd,2021-05-11 11:42:17.144343,2021-05-11 11:43:03.000000,2021-05-11 12:48:46.007414,COMPLETED,80625.802,,25,64,5,0.00003,10,2022
cka5gqyncs,2021-05-11 11:42:16.445377,2021-05-11 11:42:38.000000,2021-05-11 12:47:59.727939,COMPLETED,78541.82,,50,16,10,0.00001,10,2025
p5q3fc8ihw,2021-05-11 01:50:19.567755,2021-05-11 12:12:45.000000,2021-05-11 12:46:28.691337,COMPLETED,74583.734,,50,64,5,0.000001,10,2025
n6sumxybve,2021-05-11 11:35:31.049079,2021-05-11 11:36:02.000000,2021-05-11 12:41:09.898198,COMPLETED,75416.734,,25,16,5,0.000001,10,2023
